Cell,Raw reads,Clean reads,Aligned reads,Mapping rate,Gene number,Transcript number,Cluster
OA7_S2.28,2269232,2265147,1510953,66.70%,4269,591729,preHTC
OA7_S2.29,625586,624235,402678,64.50%,4052,189079,preHTC
OA7_S2.30,1961106,1955779,1395249,71.30%,4187,550447,preHTC
OA7_S2.31,1234742,1231150,795069,64.60%,4551,314109,preHTC
OA7_S2.32,1342489,1339885,885824,66.10%,3819,452307,ProC
OA7_S3.1,3539517,3536145,2243704,63.50%,5624,679656,preHTC
OA7_S3.2,2674838,2672003,1723605,64.50%,5131,515122,EC
OA7_S3.3,1830258,1825343,1040731,57.00%,4455,366006,preHTC
OA7_S3.4,2184150,2181099,1463874,67.10%,4775,613743,preHTC
OA7_S3.5,768838,764683,374619,49.00%,4206,207002,preHTC
OA7_S3.6,958110,953024,511114,53.60%,4557,336969,preHTC
OA7_S3.7,927687,924882,555867,60.10%,3762,262051,preHTC
OA7_S3.8,460242,459096,267004,58.20%,3138,119136,preHTC
OA7_S3.9,1923062,1920993,1154270,60.10%,5440,632600,preHTC
OA7_S3.10,2642485,2639654,1590894,60.30%,4901,487038,preHTC
OA7_S3.11,1452993,1447956,888657,61.40%,4764,439299,preHTC
OA7_S3.12,1823601,1821881,1128203,61.90%,4269,299261,preHTC
OA7_S3.13,1932439,1908958,1083976,56.80%,4573,377132,preHTC
OA7_S3.14,3449043,3445871,2241109,65.00%,5532,718594,preHTC
OA7_S3.15,1820566,1818579,1233248,67.80%,3897,365569,ProC
OA7_S3.16,951639,950643,628922,66.20%,3548,203408,ProC
OA7_S3.17,4000017,3995150,2688837,67.30%,6082,656203,preHTC
OA7_S3.18,2087305,2085232,1367526,65.60%,4353,320360,ProC
OA7_S3.19,1728525,1724276,1105436,64.10%,4014,333852,preHTC
OA7_S3.20,1416912,1413188,820459,58.10%,5101,298102,preHTC
OA7_S3.21,1385063,1382475,897238,64.90%,5021,464920,preHTC
OA7_S3.22,2307375,2304849,1607588,69.70%,5057,466649,ProC
OA7_S3.23,244494,238385,50260,21.10%,3372,31936,
OA7_S3.24,815287,813947,472210,58.00%,3561,176941,preHTC
OA7_S3.25,1849108,1845036,1162273,63.00%,4002,476355,ProC
OA7_S3.26,6095840,6091327,4156682,68.20%,7318,1229226,preHTC
OA7_S3.27,1486884,1485160,909644,61.20%,3881,228136,ProC
OA7_S3.28,1497685,1492110,852154,57.10%,4637,272659,preHTC
OA7_S3.29,2814156,2809791,1842645,65.60%,4831,467211,preHTC
OA7_S3.30,2558796,2552943,1557204,61.00%,4877,582575,preHTC
OA7_S3.31,616784,615896,379130,61.60%,3651,170422,ProC
OA7_S3.32,2012857,2010811,1297156,64.50%,4394,386018,ProC
OA7_S4.1,204383,203428,75712,37.20%,956,3016,
OA7_S4.2,172627,170232,73070,42.90%,2755,41708,HTC
OA7_S4.3,1111840,1108944,643960,58.10%,3622,171392,HTC
OA7_S4.4,1899562,1897674,1279461,67.40%,4362,379607,HTC
OA7_S4.5,1294742,1293268,753536,58.30%,3954,223471,FC
OA7_S4.6,1804475,1802653,1150433,63.80%,3845,364292,HTC
OA7_S4.7,122046,121745,72884,59.90%,2504,33358,HTC
OA7_S4.8,1681625,1679999,1079059,64.20%,4071,302634,HTC
OA7_S4.9,3629865,3627063,2161365,59.60%,5414,671761,FC
OA7_S4.10,2238052,2235879,1317913,58.90%,4242,332715,HTC
OA7_S4.11,1971007,1968197,1175747,59.70%,4943,320736,HTC
OA7_S4.12,547136,544880,298108,54.70%,2448,123478,HTC
OA7_S4.13,2098400,2096552,1187618,56.60%,4635,277442,HTC
OA7_S4.14,389551,388126,239660,61.70%,2774,94127,HTC
OA7_S4.15,2124369,2121835,1277064,60.20%,4301,318177,HTC
OA7_S4.16,1059051,1057736,719761,68.00%,3334,257857,HTC
OA7_S4.17,2866807,2863823,1921337,67.10%,5015,550863,HTC
OA7_S4.18,1504967,1503543,1000936,66.60%,3527,361784,HTC
OA7_S4.19,1423817,1422635,922768,64.90%,3495,279716,HTC
OA7_S4.20,2050420,2048884,1397092,68.20%,3826,426443,HTC
OA7_S4.21,977947,977121,644535,66.00%,2184,201521,HTC
OA7_S4.22,1335299,1334265,930988,69.80%,3339,337190,HTC
OA7_S4.23,3775863,3772871,2665885,70.70%,5015,919422,HTC
OA7_S4.24,435470,434117,229244,52.80%,2135,84726,HTC
OA7_S4.25,3120656,3117706,2191180,70.30%,6489,805717,HTC
OA7_S4.26,1768808,1767221,1226861,69.40%,3910,400585,FC
OA7_S4.27,1229582,1228071,852808,69.40%,4995,322885,HTC
OA7_S4.28,2417463,2416114,1647193,68.20%,4521,354927,HTC
OA7_S4.29,1882797,1881663,1217510,64.70%,3347,225166,HTC
OA7_S4.30,204801,204656,137042,67.00%,1090,30259,HTC
OA7_S4.31,2104406,2102911,1426377,67.80%,3960,380837,HTC
OA7_S4.32,950098,949411,623995,65.70%,2871,167751,HTC
OA8_S0.1,1844688,1840564,960286,52.20%,4116,291960,HTC
OA8_S0.2,2511566,2505900,1618787,64.60%,4985,397521,EC
OA8_S0.3,1370146,1350672,602276,44.60%,4341,236268,EC
OA8_S0.4,715272,710052,319880,45.10%,2884,103071,HTC
OA8_S0.5,5182,5146,1549,30.10%,158,427,
OA8_S0.6,118590,118095,45268,38.30%,652,1549,
OA8_S0.7,823979,820752,530668,64.70%,4393,163789,EC
OA8_S0.8,151564,148891,17441,11.70%,786,1613,
OA8_S0.9,1071233,1069336,691582,64.70%,4448,325257,EC
OA8_S0.10,2298208,2295589,1586369,69.10%,4513,294262,EC
OA8_S0.11,632049,624373,376780,60.30%,4306,151366,EC
OA8_S0.12,1716637,1710652,1138821,66.60%,4667,320231,EC
OA8_S0.13,1396520,1366308,771257,56.40%,4004,167100,EC
OA8_S0.14,1403453,1398571,861529,61.60%,3757,167454,EC
OA8_S0.15,1583576,1579375,1046228,66.20%,4330,240119,EC
OA8_S0.16,1239024,1235547,758498,61.40%,3737,173185,EC
OA8_S0.17,880997,866725,418206,48.30%,2789,79687,HTC
OA8_S0.18,1396886,1392783,729559,52.40%,4448,170918,EC
OA8_S0.19,1532703,1522925,971775,63.80%,4284,250613,EC
OA8_S0.20,330221,322719,23967,7.40%,1180,3124,
OA8_S0.21,479076,475692,296632,62.40%,3971,119991,EC
OA8_S0.22,1550274,1546547,995736,64.40%,4426,219962,EC
OA8_S0.23,358262,339429,20170,5.90%,2682,10247,
OA8_S0.24,498924,497154,265804,53.50%,3051,74249,HomC
OA8_S0.25,892069,887122,543016,61.20%,3443,198312,EC
OA8_S0.26,2127664,2122823,1374781,64.80%,4903,299587,EC
OA8_S0.27,1798445,1794774,1145099,63.80%,4624,250769,EC
OA8_S0.28,860157,846600,459180,54.20%,5068,144059,EC
OA8_S0.29,1999628,1992216,1297168,65.10%,4416,202525,RegC
OA8_S0.30,2304921,2283310,1453292,63.60%,5554,447264,EC
OA8_S0.31,296282,295198,161210,54.60%,2698,50321,RegC
OA8_S0.32,2379331,2376236,1563522,65.80%,4853,278681,EC
OA8_S1.1,569470,568814,419066,73.70%,2285,90765,HTC
OA8_S1.2,96244,92281,31644,34.30%,2195,15835,HTC
OA8_S1.3,1812511,1804809,1141590,63.30%,4928,401757,HTC
OA8_S1.4,1291475,1288339,866952,67.30%,4684,266519,HTC
OA8_S1.5,1719595,1716340,919020,53.50%,5005,204033,EC
OA8_S1.6,1185800,1183787,831544,70.20%,3241,178125,HTC
OA8_S1.7,71331,70717,18295,25.90%,398,778,
OA8_S1.8,237275,236225,87823,37.20%,715,1981,
OA8_S1.9,1426526,1424256,905001,63.50%,4044,265350,HTC
OA8_S1.10,1346462,1343615,876477,65.20%,3991,299359,HTC
OA8_S1.11,617875,614769,327732,53.30%,2962,97262,HTC
OA8_S1.12,473237,467555,264386,56.50%,3145,122210,HTC
OA8_S1.13,898212,895617,547318,61.10%,3398,138553,HTC
OA8_S1.14,398045,395005,228978,58.00%,3601,77380,HTC
OA8_S1.15,1326714,1323226,834094,63.00%,3612,139761,RegC
OA8_S1.16,2157699,2154927,1534124,71.20%,4373,347548,HTC
OA8_S1.17,1645156,1637714,1069223,65.30%,3801,355239,HTC
OA8_S1.18,1697338,1694272,1027640,60.70%,4262,392249,HTC
OA8_S1.19,1041000,1038647,602403,58.00%,3675,225825,HTC
OA8_S1.20,2153972,2149510,1409992,65.60%,4265,431751,HTC
OA8_S1.21,603188,600427,362710,60.40%,3362,163418,HTC
OA8_S1.22,2595500,2593014,1765496,68.10%,4845,617747,HTC
OA8_S1.23,1175109,1169078,768037,65.70%,3677,346941,HTC
OA8_S1.24,686203,682510,215133,31.50%,3802,95025,HTC
OA8_S1.25,704322,700663,422291,60.30%,3036,146124,HTC
OA8_S1.26,2184268,2180102,1491089,68.40%,4634,439252,HTC
OA8_S1.27,163737,161369,49982,31.00%,705,2814,
OA8_S1.28,1257936,1255858,856883,68.20%,3105,180913,HTC
OA8_S1.29,3054045,3047309,1736946,57.00%,4718,338196,HTC
OA8_S1.30,1754965,1752237,1043436,59.50%,3826,208612,HTC
OA8_S1.31,2889344,2878989,1684225,58.50%,4885,399501,HTC
OA8_S1.32,1817905,1816353,1247289,68.70%,4051,323537,HTC
OA8_S2.1,2215233,2212682,1328494,60.00%,4368,310208,ProC
OA8_S2.2,2231324,2224850,1504579,67.60%,4687,511853,ProC
OA8_S2.3,2405612,2403037,1618125,67.30%,4763,512913,ProC
OA8_S2.4,1787460,1781498,1196811,67.20%,4160,420609,ProC
OA8_S2.5,588325,573419,345678,60.30%,2970,141350,ProC
OA8_S2.6,2372945,2369067,1605914,67.80%,4597,404140,ProC
OA8_S2.7,1108337,1107300,758873,68.50%,3832,252199,HomC
OA8_S2.8,1230507,1226458,783426,63.90%,4217,300774,EC
OA8_S2.9,289347,288416,176770,61.30%,3981,69674,ProC
OA8_S2.10,1359108,1354579,992127,73.20%,4780,445750,HomC
OA8_S2.11,1648573,1646514,1205033,73.20%,4122,315221,ProC
OA8_S2.12,545186,483573,117128,24.20%,2766,39137,
OA8_S2.13,1743973,1741018,1157843,66.50%,3569,431795,ProC
OA8_S2.14,435229,433662,261708,60.30%,3306,137868,HomC
OA8_S2.15,2094583,2092712,1515492,72.40%,4472,460750,ProC
OA8_S2.16,2498175,2495753,1775517,71.10%,4314,552610,EC
OA8_S2.17,2426956,2415178,1111659,46.00%,4671,347528,ProC
OA8_S2.18,494240,491922,298819,60.70%,3354,130898,ProC
OA8_S2.19,1178035,1176486,836543,71.10%,3667,372631,EC
OA8_S2.20,2135347,2132683,1501214,70.40%,4194,503420,ProC
OA8_S2.21,537584,535272,298055,55.70%,5223,159015,ProC
OA8_S2.22,2562479,2559972,1557451,60.80%,4266,612597,preHTC
OA8_S2.23,1025966,1018111,642797,63.10%,3805,196125,ProC
OA8_S2.24,467811,466855,284391,60.90%,3806,144952,ProC
OA8_S2.25,3015042,3012859,2154996,71.50%,5271,993709,preHTC
OA8_S2.26,930241,920823,564387,61.30%,4303,285925,ProC
OA8_S2.27,1557822,1554735,1051281,67.60%,4434,386512,ProC
OA8_S2.28,1558479,1550340,1041151,67.20%,3896,441077,ProC
OA8_S2.29,408428,405190,191817,47.30%,3409,88793,ProC
OA8_S2.30,1725512,1718842,1164890,67.80%,4502,402057,ProC
OA8_S2.31,1061520,1054518,522054,49.50%,4407,167879,ProC
OA8_S2.32,1964930,1959628,1068300,54.50%,6087,556578,HomC
OA8_S3.1,2787604,2785688,1884284,67.60%,6298,827288,ProC
OA8_S3.2,275545,273485,142606,52.10%,4637,79251,ProC
OA8_S3.3,2489785,2485790,1617098,65.10%,5235,588336,ProC
OA8_S3.4,1399413,1397680,889920,63.70%,4725,374017,ProC
OA8_S3.5,1823302,1821606,1183243,65.00%,4628,418985,ProC
OA8_S3.6,3124856,3122685,1207648,38.70%,5004,474107,ProC
OA8_S3.7,444446,443816,279544,63.00%,3644,147092,ProC
OA8_S3.8,1157116,1155736,751017,65.00%,3967,303971,ProC
OA8_S3.9,4356599,4353330,2595501,59.60%,6886,1195756,ProC
OA8_S3.10,2078700,2076880,1294071,62.30%,4940,503222,ProC
OA8_S3.11,1246339,1244431,756794,60.80%,3895,211848,ProC
OA8_S3.12,934733,931223,609384,65.40%,4191,318959,ProC
OA8_S3.13,3781121,3779121,2596431,68.70%,6210,774817,ProC
OA8_S3.14,1224447,1223058,796538,65.10%,5525,343969,preHTC
OA8_S3.15,2200901,2199358,1533994,69.70%,4556,381862,ProC
OA8_S3.16,2772188,2770516,1826833,65.90%,5105,612138,preHTC
OA8_S3.17,3094066,3087319,1879195,60.90%,4815,435370,ProC
OA8_S3.18,2894800,2891168,1969362,68.10%,4870,772003,ProC
OA8_S3.19,2377293,2373873,1527918,64.40%,4838,692012,preHTC
OA8_S3.20,2513182,2510028,1623848,64.70%,4549,592763,ProC
OA8_S3.21,141904,140171,37787,27.00%,507,3235,
OA8_S3.22,1947158,1944805,1305059,67.10%,4055,555129,EC
OA8_S3.23,1318075,1313770,815985,62.10%,3524,373344,ProC
OA8_S3.24,481619,479092,286089,59.70%,3581,128243,ProC
OA8_S3.25,7006930,6999208,4346007,62.10%,7591,1660916,ProC
OA8_S3.26,3544899,3541494,2436113,68.80%,4804,885178,ProC
OA8_S3.27,1184902,1182876,795996,67.30%,4271,263907,ProC
OA8_S3.28,1842794,1841322,1077726,58.50%,3681,240228,ProC
OA8_S3.29,2626635,2624996,1834858,69.90%,4293,417778,ProC
OA8_S3.30,3775497,3772561,1854894,49.20%,4769,451078,ProC
OA8_S3.31,3008007,3005367,1978979,65.80%,5075,456973,EC
OA8_S3.32,2636315,2634381,1756633,66.70%,4601,411502,ProC
OA8_S4.1,4426958,4423209,2612510,59.10%,6152,675705,HTC
OA8_S4.2,1987868,1981434,954595,48.20%,3850,361452,HTC
OA8_S4.3,1977133,1974191,1187777,60.20%,3772,398086,HTC
OA8_S4.4,1750317,1746747,1162145,66.50%,3557,408260,HTC
OA8_S4.5,1446908,1436536,876502,61.00%,4981,360339,HTC
OA8_S4.6,2160599,2158473,1342641,62.20%,3636,298414,HTC
OA8_S4.7,1109893,1109169,741025,66.80%,2883,191866,HTC
OA8_S4.8,1111076,1109377,713778,64.30%,3000,218220,HTC
OA8_S4.9,569225,568456,303835,53.40%,4591,134363,HTC
OA8_S4.10,1410384,1405995,840132,59.80%,3181,337564,HTC
OA8_S4.11,1526346,1523898,650110,42.70%,3481,146534,HTC
OA8_S4.12,685984,610634,83428,13.70%,2193,33270,
OA8_S4.13,238050,235404,115976,49.30%,1855,7166,
OA8_S4.14,496558,494946,290344,58.70%,2586,123655,HTC
OA8_S4.15,1838432,1836954,1209401,65.80%,3702,301814,HTC
OA8_S4.16,1745843,1744247,1107517,63.50%,3060,266585,HTC
OA8_S4.17,2126748,2119550,1092188,51.50%,3859,224072,HTC
OA8_S4.18,521818,520598,284510,54.70%,2721,102914,HTC
OA8_S4.19,1695369,1693630,1072276,63.30%,4848,480194,HTC
OA8_S4.20,1787058,1785462,1103911,61.80%,3441,358862,HTC
OA8_S4.21,188914,188139,112057,59.60%,2848,55892,HTC
OA8_S4.22,2316436,2314400,1447397,62.50%,4177,507682,HTC
OA8_S4.23,1103204,1097330,618604,56.40%,3476,220639,HTC
OA8_S4.24,424867,424208,241205,56.90%,3151,93248,HTC
OA8_S4.25,1987011,1985545,1165804,58.70%,4327,466094,HTC
OA8_S4.26,285085,281294,137790,49.00%,2537,68005,HTC
OA8_S4.27,214180,212407,71383,33.60%,1120,5080,
OA8_S4.28,2009911,2004653,1202153,60.00%,3676,403553,HTC
OA8_S4.29,333717,331314,180842,54.60%,3171,94863,HTC
OA8_S4.30,4895985,4889952,3104468,63.50%,6229,873755,HTC
OA8_S4.31,2023296,2020625,1045578,51.70%,5074,285593,HTC
OA8_S4.32,1212767,1210234,667558,55.20%,3536,293220,HTC
OA9_S0.1,2183534,2182495,1203504,55.10%,4719,394475,HomC
OA9_S0.2,2876866,2875462,2036635,70.80%,5562,793236,EC
OA9_S0.3,1231232,1228952,811185,66.00%,4630,285593,EC
OA9_S0.4,1640144,1639123,1217491,74.30%,4671,485945,RegC
OA9_S0.5,484863,483785,307707,63.60%,3494,139126,RegC
OA9_S0.6,290144,289396,178934,61.80%,3494,90539,RegC
OA9_S0.7,346283,344779,196597,57.00%,3075,94993,RegC
OA9_S0.8,302817,302096,177184,58.70%,3588,87785,RegC
OA9_S0.9,1225000,1224353,719992,58.80%,4490,340049,EC
OA9_S0.10,1813133,1812169,1192972,65.80%,4450,394751,RegC
OA9_S0.11,495944,495022,335785,67.80%,3253,180520,RegC
OA9_S0.12,1967876,1966660,1463743,74.40%,5152,461569,RegC
OA9_S0.13,987147,981867,611171,62.20%,3352,136446,HomC
OA9_S0.14,2417408,2416242,1498320,62.00%,4961,323286,ProC
OA9_S0.15,1911924,1910949,1285219,67.30%,4259,289851,HTC
OA9_S0.16,1258817,1257952,909054,72.30%,3837,307553,RegC
OA9_S0.17,2364244,2361420,1425595,60.40%,4942,359374,RegC
OA9_S0.18,1918303,1917421,1366157,71.20%,5055,398637,RegC
OA9_S0.19,1310723,1309276,894433,68.30%,3923,299392,RegC
OA9_S0.20,596749,595730,342250,57.50%,3596,120515,RegC
OA9_S0.21,435340,434872,313781,72.20%,3825,177842,EC
OA9_S0.22,2432463,2431413,1609355,66.20%,4654,416312,RegC
OA9_S0.23,73633,72440,26059,36.00%,2114,13669,RegC
OA9_S0.24,979292,978665,697173,71.20%,4411,265466,HomC
OA9_S0.25,1677052,1675663,1238432,73.90%,5212,558160,EC
OA9_S0.26,1843322,1842293,1223530,66.40%,4379,320998,RegC
OA9_S0.27,1846796,1845873,1126003,61.00%,4396,250431,RegC
OA9_S0.28,813229,810699,518492,64.00%,4589,186703,RegC
OA9_S0.29,1788513,1787545,1338413,74.90%,4492,287716,RegC
OA9_S0.30,2753916,2751333,1961820,71.30%,5353,583486,HomC
OA9_S0.31,378695,378454,249123,65.80%,3670,104778,RegC
OA9_S0.32,2188913,2187923,1564174,71.50%,4994,445666,EC
OA9_S1.1,1077142,1076666,571273,53.10%,3276,179715,HomC
OA9_S1.2,94493,94278,51217,54.30%,3012,27931,EC
OA9_S1.3,2223040,2221698,1403325,63.20%,5302,416062,EC
OA9_S1.4,1705771,1704787,1053979,61.80%,4903,347133,RegC
OA9_S1.5,1427365,1426653,874214,61.30%,3962,187735,HomC
OA9_S1.6,2439282,2438065,1706720,70.00%,5104,439606,ProC
OA9_S1.7,317660,317487,162562,51.20%,2539,51325,FC
OA9_S1.8,2592599,2591483,1883380,72.70%,5329,580211,EC
OA9_S1.9,3226481,3224801,1835402,56.90%,5654,362293,RegC
OA9_S1.10,1300518,1299556,672159,51.70%,3467,157938,RegC
OA9_S1.11,1809975,1808925,1257192,69.50%,4759,374484,RegC
OA9_S1.12,318987,318071,107149,33.70%,2676,26039,RegC
OA9_S1.13,1120351,1119803,707343,63.20%,3489,148006,HomC
OA9_S1.14,18985,18976,12700,66.90%,329,2372,
OA9_S1.15,2706038,2704938,1675879,62.00%,4980,333502,RegC
OA9_S1.16,2175023,2173973,1414050,65.00%,4453,366949,HomC
OA9_S1.17,2638815,2636399,1749659,66.40%,5067,510223,RegC
OA9_S1.18,3122293,3120177,1953101,62.60%,5281,598823,RegC
OA9_S1.19,1774985,1773763,792748,44.70%,4419,173097,RegC
OA9_S1.20,1582911,1581416,974636,61.60%,4027,244443,HTC
OA9_S1.21,499295,498686,326857,65.50%,3398,118884,RegC
OA9_S1.22,1837035,1835953,1256269,68.40%,4588,246238,HomC
OA9_S1.23,3349164,3346185,2187091,65.40%,7569,802836,RegC
OA9_S1.24,319357,318495,199702,62.70%,3210,81130,EC
OA9_S1.25,403576,402492,219996,54.70%,2296,63901,HTC
OA9_S1.26,1941079,1939418,1335628,68.90%,4739,421257,RegC
OA9_S1.27,854323,853306,561573,65.80%,4570,193421,EC
OA9_S1.28,1958246,1957154,1150235,58.80%,4731,163763,RegC
OA9_S1.29,2225197,2223587,1638720,73.70%,4889,381416,RegC
OA9_S1.30,3362766,3360790,2358973,70.20%,5819,461738,HomC
OA9_S1.31,3757794,3755395,2526346,67.30%,6135,569812,HomC
OA9_S1.32,3942117,3939861,2538681,64.40%,6160,452064,FC
OA9_S2.1,5872811,5870026,4317699,73.60%,7111,1197639,preHTC
OA9_S2.2,3002207,3000155,1864119,62.10%,5225,540567,preHTC
OA9_S2.3,1428673,1427334,1028247,72.00%,4165,398424,RegC
OA9_S2.4,2021561,2019863,1451507,71.90%,4432,526911,preHTC
OA9_S2.5,1256354,1254016,792065,63.20%,4251,288935,preHTC
OA9_S2.6,2289950,2288380,1748906,76.40%,5134,393613,preHTC
OA9_S2.7,3928194,3926099,2855924,72.70%,6674,873440,ProC
OA9_S2.8,958107,957139,700956,73.20%,3948,285626,preHTC
OA9_S2.9,182069,181819,127592,70.20%,2856,59483,ProC
OA9_S2.10,1465847,1463866,1109741,75.80%,4377,531668,EC
OA9_S2.11,2441148,2439424,1782605,73.10%,5619,549840,preHTC
OA9_S2.12,292695,286736,191649,66.80%,3105,89190,ProC
OA9_S2.13,1885526,1884117,1476715,78.40%,4781,582040,ProC
OA9_S2.14,1006785,1006049,722664,71.80%,4478,329372,preHTC
OA9_S2.15,1594897,1593859,1092271,68.50%,4239,388185,preHTC
OA9_S2.16,2052213,2050764,1473056,71.80%,4620,543386,preHTC
OA9_S2.17,1574606,1571727,1114438,70.90%,4793,413095,ProC
OA9_S2.18,430448,429902,298558,69.40%,3553,135673,ProC
OA9_S2.19,1642430,1641410,1134470,69.10%,4536,524418,ProC
OA9_S2.20,3062438,3060854,2089091,68.30%,5517,755300,preHTC
OA9_S2.21,255105,254838,182600,71.70%,3214,82050,ProC
OA9_S2.22,3534417,3532654,2242612,63.50%,5736,795161,preHTC
OA9_S2.23,1132915,1131415,689925,61.00%,4633,275858,preHTC
OA9_S2.24,172908,172695,116504,67.50%,2416,52746,RegC
OA9_S2.25,2710638,2709154,1960578,72.40%,4934,929191,preHTC
OA9_S2.26,959305,957659,682165,71.20%,4585,347762,EC
OA9_S2.27,164148,163762,90281,55.10%,1310,5634,
OA9_S2.28,2222625,2220491,1518297,68.40%,6241,712602,EC
OA9_S2.29,1024627,1023787,716042,69.90%,5859,370607,preHTC
OA9_S2.30,1520471,1519156,1063848,70.00%,4206,357152,RegC
OA9_S2.31,1146056,1145001,813249,71.00%,4394,299524,preHTC
OA9_S2.32,1650728,1649646,1048590,63.60%,4374,518919,ProC
OA9_S3.1,1421878,1418844,823245,58.00%,3981,316605,ProC
OA9_S3.2,1660129,1656624,1030219,62.20%,4235,326738,ProC
OA9_S3.3,1245900,1237026,660447,53.40%,4518,255928,ProC
OA9_S3.4,423168,419421,205617,49.00%,3196,105650,ProC
OA9_S3.5,480829,475488,157283,33.10%,3569,79423,ProC
OA9_S3.6,356309,353373,158875,45.00%,3412,89269,ProC
OA9_S3.7,578854,575421,308671,53.60%,3777,147412,ProC
OA9_S3.8,295460,292865,110048,37.60%,2921,46325,ProC
OA9_S3.9,1798577,1796092,1110132,61.80%,6078,571708,ProC
OA9_S3.10,1850950,1847729,978073,52.90%,4237,282940,EC
OA9_S3.11,496231,491897,275449,56.00%,3962,132449,ProC
OA9_S3.12,505242,502285,275064,54.80%,2813,98624,ProC
OA9_S3.13,2188982,2154906,1164627,54.00%,5238,392492,ProC
OA9_S3.14,1167847,1165761,760262,65.20%,3303,193220,ProC
OA9_S3.15,1913659,1911326,1279389,66.90%,4000,335348,ProC
OA9_S3.16,1588546,1585794,1027670,64.80%,3930,285751,ProC
OA9_S3.17,2407946,2397394,1560036,65.10%,4824,376246,ProC
OA9_S3.18,1421673,1418980,874594,61.60%,4168,234415,ProC
OA9_S3.19,1833307,1825724,1159871,63.50%,4279,335228,ProC
OA9_S3.20,528766,525586,224928,42.80%,3443,80385,ProC
OA9_S3.21,472477,470918,292508,62.10%,3521,126139,ProC
OA9_S3.22,1243143,1240713,823951,66.40%,3653,239612,ProC
OA9_S3.23,80926,77949,12656,16.20%,1476,6489,
OA9_S3.24,641389,640010,353959,55.30%,3592,131115,ProC
OA9_S3.25,1092922,1088237,685017,62.90%,3828,313756,ProC
OA9_S3.26,1770499,1766514,1121238,63.50%,4692,356118,EC
OA9_S3.27,1014675,1012028,638065,63.00%,3666,202538,ProC
OA9_S3.28,728188,719574,330367,45.90%,3807,112552,ProC
OA9_S3.29,1537539,1532895,892714,58.20%,3780,189478,ProC
OA9_S3.30,2082522,2072582,1267069,61.10%,4414,397440,ProC
OA9_S3.31,345825,345106,200896,58.20%,3479,83915,ProC
OA9_S3.32,2109998,2106818,1368691,65.00%,4753,402788,ProC
OA9_S4.1,761016,759568,442240,58.20%,3434,186224,preHTC
OA9_S4.2,120387,118423,50053,42.30%,3009,32084,ProC
OA9_S4.3,1488030,1484501,896352,60.40%,4362,328761,preHTC
OA9_S4.4,150558,149267,48674,32.60%,933,5614,
OA9_S4.5,1589098,1586571,982452,61.90%,4188,328096,preHTC
OA9_S4.6,3556865,3552436,2333040,65.70%,5969,725472,preHTC
OA9_S4.7,65320,64720,19581,30.30%,437,3088,
OA9_S4.8,1419955,1417524,851778,60.10%,3480,305014,preHTC
OA9_S4.9,1648700,1646420,1053012,64.00%,4245,393415,preHTC
OA9_S4.10,1157123,1154992,800887,69.30%,4264,323001,preHTC
OA9_S4.11,1602883,1599754,981963,61.40%,4475,345620,preHTC
OA9_S4.12,711377,707848,412536,58.30%,3920,192884,preHTC
OA9_S4.13,1944477,1942135,1278939,65.90%,4350,337600,preHTC
OA9_S4.14,1359361,1357422,903716,66.60%,5365,299378,preHTC
OA9_S4.15,2038078,2035369,1380984,67.80%,4318,393457,preHTC
OA9_S4.16,731123,730338,481914,66.00%,3836,177310,ProC
OA9_S4.17,2976304,2973473,1877254,63.10%,5057,495534,preHTC
OA9_S4.18,1642139,1640574,1131012,68.90%,5227,430996,ProC
OA9_S4.19,206810,205883,80249,39.00%,2597,14649,preHTC
OA9_S4.20,1449567,1448076,964163,66.60%,4338,321177,preHTC
OA9_S4.21,506587,505538,338759,67.00%,4409,184036,ProC
OA9_S4.22,1350254,1349068,839769,62.20%,4083,265224,preHTC
OA9_S4.23,1024987,1022682,677255,66.20%,4177,291207,preHTC
OA9_S4.24,50145,49292,17220,34.90%,628,2477,
OA9_S4.25,1563418,1560912,743574,47.60%,4775,291129,preHTC
OA9_S4.26,774666,773299,434039,56.10%,3225,143703,preHTC
OA9_S4.27,950416,949090,599765,63.20%,4978,221078,preHTC
OA9_S4.28,2448241,2446417,1628190,66.60%,5013,400000,preHTC
OA9_S4.29,2638019,2636298,1596035,60.50%,5253,318657,preHTC
OA9_S4.30,2078055,2076276,1302904,62.80%,4897,389470,preHTC
OA9_S4.31,2129296,2125877,1316609,61.90%,5015,456017,preHTC
OA9_S4.32,1501513,1500261,1028853,68.60%,4375,283061,preHTC
OA10_S0.1,1688176,1686246,943161,55.90%,4788,273439,EC
OA10_S0.2,1744655,1741289,1037925,59.60%,4585,266725,EC
OA10_S0.3,1426925,1412385,552668,39.10%,4978,167117,EC
OA10_S0.4,587116,584806,281197,48.10%,2961,95989,HomC
OA10_S0.5,259239,249994,23638,9.50%,1198,6957,
OA10_S0.6,250927,245608,74695,30.40%,2963,34893,EC
OA10_S0.7,534576,525454,203997,38.80%,4169,92684,HomC
OA10_S0.8,298257,290981,64258,22.10%,2579,31452,
OA10_S0.9,511445,510686,283792,55.60%,3511,143455,EC
OA10_S0.10,1751418,1748489,521451,29.80%,3812,154718,
OA10_S0.11,400210,396146,220680,55.70%,4329,99409,HomC
OA10_S0.12,919569,915505,531072,58.00%,4494,186285,HomC
OA10_S0.13,1632662,1572573,736586,46.80%,6020,261103,EC
