id	NA18855_Strain	NA19160_Strain	NA18856_Strain
ENSG00000130939	5.98386512567077	6.12494907166565	6.10346436628084
ENSG00000054523	6.89694008576762	6.64815957657024	7.05974931360856
ENSG00000142657	6.59464703148758	7.13771987167324	6.81376545814549
ENSG00000160049	5.37026887094569	5.60221942794669	5.47442655842048
ENSG00000142655	3.84811603968932	3.84372197679654	4.04110711341716
ENSG00000120948	5.52074786554849	5.45922880991919	5.61755042659388
ENSG00000116649	7.22951078245691	6.75752147545874	6.65983123769897
ENSG00000171824	5.1681732007709	5.28543845175086	5.2910579209259
ENSG00000198793	6.65484014893405	6.58251424137778	6.19496711388749
ENSG00000171819	6.06253247076328	7.01778823679263	-0.103132003730095
ENSG00000120942	4.51977951318926	4.23025269584925	4.25178107201545
ENSG00000116661	2.25091880726737	3.11693918862693	0.849491665349094
ENSG00000132879	2.86697153168797	3.34191972337169	2.26397483354709
ENSG00000116670	3.74532019665889	3.61672062856552	3.79835861599833
ENSG00000177674	4.38619852377274	4.87101186729647	5.04442774278233
ENSG00000177000	4.45959558721678	4.46957474244386	4.07977830987947
ENSG00000011021	4.89904054484498	5.0085313539721	4.41020588475408
ENSG00000116685	5.49953875387595	4.97268015453697	5.39363950703291
ENSG00000083444	9.98154929516983	9.03467304459456	9.35063325381782
ENSG00000116688	6.62804052498467	6.57070667786121	6.53438607526209
ENSG00000116691	3.17278440277374	3.45312969803186	3.92585373373806
ENSG00000048707	5.71406275791385	5.87664094236773	5.75300635622514
ENSG00000162496	2.6396812362773	4.54777397672454	2.09991606190328
ENSG00000162494	1.65953980931683	2.98045100414078	0.223707185923109
ENSG00000162493	9.37706139439205	10.6947933676912	9.01845948015255
ENSG00000116731	5.4903710088538	5.68037565096721	5.55907355447744
ENSG00000189337	2.28795827578863	2.88633642750142	3.72650784830522
ENSG00000171729	2.77543185518435	2.66089288275728	4.43330031042466
ENSG00000142634	3.61850315657781	4.14411312282129	4.72749059810184
ENSG00000132906	3.70194177587048	3.33195663583488	3.65633125280038
ENSG00000116138	5.4121392775199	5.24386420926309	4.92514598376496
ENSG00000197312	5.03698777980461	4.82715927737322	5.58762576161955
ENSG00000116786	6.11011402386274	6.28526499491324	6.48869224515658
ENSG00000162458	6.82322349033156	7.23023138746748	7.11283407880777
ENSG00000065526	5.62793424505964	5.27671960274437	5.77585648399678
ENSG00000116809	4.15616260634455	4.13439358995567	4.62054035869974
ENSG00000173641	4.47281389439792	4.91644029539816	5.84872012161115
ENSG00000142627	6.40966363757389	5.97803290059545	7.72044694744082
ENSG00000142632	2.85109412511968	3.01130171792379	2.42916953602034
ENSG00000037637	4.74131010356194	4.74027469933039	4.63171962364838
ENSG00000055070	6.61535983880837	6.83550566986282	6.95416375465024
ENSG00000157191	5.98121520947369	6.08541918596687	6.28687438691225
ENSG00000219481	4.5711702352014	4.65788406441152	4.62797763084318
ENSG00000215908	3.87661907325072	3.55754861290618	3.78729778390616
ENSG00000058453	4.30339447952985	4.08178795070247	4.24677740172459
ENSG00000117122	7.33727311990968	6.12276863324478	6.992286015386
ENSG00000159363	6.21636890704452	5.54396242620444	6.41587900436667
ENSG00000117118	6.04957776852147	6.46792997029452	5.96129145658885
ENSG00000179051	6.27490800343389	6.12643710047137	6.32581559782497
ENSG00000074964	3.56487276593035	3.50312388996242	3.54206737617801
ENSG00000159423	3.09707178468542	2.88395988737496	2.48916911212538
ENSG00000169991	4.85926264204458	4.20874338257461	4.74764405221247
ENSG00000127481	9.46805226583294	9.39119298436668	8.44237074684255
ENSG00000127463	6.59762631610143	6.38963619843157	6.60964952086709
ENSG00000053372	4.50391384624697	4.45021562007145	4.86486107830695
ENSG00000053371	5.20711734977256	5.03776484185832	4.56922710762034
ENSG00000040487	4.59782672770159	4.7163350970341	4.60595298807444
ENSG00000077549	7.76797884053783	7.85044363447556	7.60066338204703
ENSG00000173436	3.0574302261451	3.1585677624448	2.98113177374657
ENSG00000158747	6.35352906367418	6.29552749251855	5.8394795248685
ENSG00000169914	4.40699387040758	4.36351539101747	6.0543406387641
ENSG00000188257	1.8065407306535	2.34874781496042	1.37836577311988
ENSG00000127472	2.11648421858478	4.12034005411703	2.57537898595601
ENSG00000162545	4.89998453333748	4.41076533390104	5.49945151462687
ENSG00000090432	5.72866524772564	5.69392737713946	5.68665210200045
ENSG00000158828	4.5419939193497	4.32458905270166	4.57446385994156
ENSG00000117242	2.78669793234884	1.9061836380429	2.93867226204562
ENSG00000244038	8.7953652950408	8.52616369503699	8.37709733644368
ENSG00000117245	2.51959675135543	1.86561780748593	3.63334374735778
ENSG00000189410	2.74440019427666	2.40080721389213	3.88798973329887
ENSG00000127483	7.02936415829897	7.16463031604401	6.95500872104728
ENSG00000075151	7.2398593004653	7.14201603440168	7.16270518731838
ENSG00000117298	7.6080924842613	7.16521419490688	8.45384271925911
ENSG00000142794	3.34820471927273	3.39999266082396	3.52263034480077
ENSG00000162551	3.53636580437502	1.62529814740755	3.81967849643892
ENSG00000090686	6.01209696229605	5.9400922970725	6.00621112591076
ENSG00000142798	9.5663072381704	9.46603832819122	9.09731302373798
ENSG00000070831	6.81849542056125	7.0817456048263	7.14155002303958
ENSG00000162552	4.54647207667187	3.94901007489286	2.33388923182491
ENSG00000184677	5.10608977729611	5.01681363238034	5.11731449042968
ENSG00000133216	3.23937272349497	2.60533457978467	3.82355900933909
ENSG00000004487	6.48667435107161	6.03559935948803	6.10907325875828
ENSG00000169641	7.28444283748459	6.64498346930798	7.95648032114208
ENSG00000179546	2.25057256911554	1.29604503280598	3.34085245040162
ENSG00000125944	6.47556236440095	6.43871967207144	6.43627947265727
ENSG00000125945	4.02026471220452	3.6826407674195	4.29449898323437
ENSG00000088280	3.35238800826845	3.90015086195534	2.62726097963643
ENSG00000117318	5.82217773730996	5.56476664952562	6.25630917390624
ENSG00000142676	8.32339859686971	8.55618163328625	8.41316018906907
ENSG00000011007	6.46371730981575	6.14208929857127	6.59231312249091
ENSG00000057757	5.40220708073245	5.01706486351981	5.21176616515871
ENSG00000011009	4.7983658725123	4.65443909903614	5.41071317640374
ENSG00000117308	4.19740523886746	3.25417042126719	4.70798282918062
ENSG00000117305	4.79226712720641	4.9824754395287	4.92790560627608
ENSG00000179163	4.00884227214232	3.81758864234516	3.08406172275068
ENSG00000189266	4.35254689962855	4.29572091579015	4.72235475091599
ENSG00000188529	6.0803575612902	6.28285150476088	6.43354992100336
ENSG00000001460	1.9055008527332	2.51008931648246	2.86622820882763
ENSG00000001461	6.80962833021306	6.75741470326248	6.25303860529121
ENSG00000117602	3.01394410051243	2.96723849865158	3.87796560397689
ENSG00000133226	5.50317006185984	5.55110766829919	5.32731806125255
ENSG00000169504	9.17917387442637	9.56629853627131	9.87092718987147
ENSG00000117614	4.91451298121986	5.15986140564195	5.15488363976517
ENSG00000117616	5.03106547901438	4.79812834819614	4.82180692049735
ENSG00000183726	6.72757450715702	6.87609408729631	7.0387847885469
ENSG00000204178	6.10737715212544	5.59980944827389	6.17037082367393
ENSG00000157978	6.29360446019669	5.73658824724161	5.59757976400505
ENSG00000117643	0.368044145239947	3.24448397815494	0.832868559085578
ENSG00000162430	5.50428969012259	5.7096053546382	6.34526207025082
ENSG00000117640	4.88804855119487	5.08842578764255	5.03671238759585
ENSG00000182749	4.52277870456552	3.68519921802353	4.58169136733194
ENSG00000117632	5.67824683496864	4.85212238234135	6.53166149918796
ENSG00000158006	4.21805327177285	3.84965757772071	4.79882954723038
ENSG00000158008	4.76544133946948	2.31878108174272	6.49155566662387
ENSG00000158022	-0.731121374016013	4.84466018800226	-1.85642608400582
ENSG00000130695	3.42116710215141	2.93530329408116	3.80819312223306
ENSG00000142669	6.99323670127201	6.71131657954254	8.32444134210799
ENSG00000158062	2.28089862275394	2.70611499971009	2.04141095573784
ENSG00000117682	6.08701390644033	5.80307904188672	6.08479725877687
ENSG00000198830	4.53735926984177	4.4444789347074	3.79374879922455
ENSG00000117713	6.32217917165682	6.32992565022759	6.29451637516498
